Year,State,Total_Accidents,Population,Accident_Rate
2022,LA,24392,,
2022,MA,5977,,
2022,MD,21365,,
2022,ME,104,,
2022,MI,20955,,
2022,MN,26061,,
2022,MO,14170,,
2022,MS,2539,,
2022,MT,9341,,
2022,NC,52268,,
2022,ND,761,,
2022,NE,1127,,
2022,NH,474,,
2022,NJ,29314,,
2022,NM,1134,,
2022,NV,3054,,
2022,NY,66154,19400000.0,341.0
2022,OH,20214,,
2022,OK,7265,,
2022,OR,20156,,
2022,PA,56319,,
2022,RI,1366,,
2022,SC,62247,,
2022,SD,16,,
2022,TN,27978,,
2022,TX,71339,29300000.0,243.4778156996587
2022,UT,11267,,
2022,VA,66272,,
2022,VT,37,,
2022,WA,11521,,
2022,WI,5581,,
2022,WV,3582,,
2022,WY,1214,,
2023,AL,608,,
2023,AR,754,,
2023,AZ,4134,,
2023,CA,48931,39600000.0,123.56313131313131
2023,CO,2776,,
2023,CT,1709,,
2023,DC,471,,
2023,DE,105,,
2023,FL,14820,22000000.0,67.36363636363636
2023,GA,5616,,
2023,IA,322,,
2023,ID,136,,
2023,IL,2978,,
2023,IN,999,,
2023,KS,641,,
2023,KY,52,,
2023,LA,2047,,
2023,MA,77,,
2023,MD,1792,,
2023,MI,3336,,
2023,MN,6004,,
2023,MO,1548,,
2023,MS,196,,
2023,MT,1374,,
2023,NC,6013,,
2023,ND,145,,
2023,NE,65,,
2023,NJ,3008,,
2023,NM,31,,
2023,NV,752,,
2023,NY,7313,19300000.0,37.891191709844556
2023,OH,3436,,
2023,OK,417,,
2023,OR,3920,,
2023,PA,6401,,
2023,RI,34,,
2023,SC,5712,,
2023,TN,1671,,
2023,TX,9312,29500000.0,31.566101694915254
2023,UT,1371,,
2023,VA,7410,,
2023,WA,1310,,
2023,WI,1365,,
2023,WV,775,,
2023,WY,195,,
