State,Year,Weighted_Severity_Score
OK,2016,2.5364963503649633
OK,2017,2.244934571549177
OK,2018,2.1900822352125235
OK,2019,2.1909139811237712
OK,2020,2.2368109069353883
OK,2021,2.1056892286935014
OK,2022,1.8624913971094288
OK,2023,2.0071942446043165
OR,2016,3.093717816683831
OR,2017,2.6929017417022676
OR,2018,2.3264617185038485
OR,2019,2.2006360005916283
OR,2020,2.184268443426091
OR,2021,2.1109049993918014
OR,2022,2.141099424488986
OR,2023,2.0948979591836734
PA,2016,2.4024005355776588
PA,2017,2.476231763863234
PA,2018,2.701919992668286
PA,2019,2.6420403250075233
PA,2020,2.4267093143503042
PA,2021,2.3037453959851395
PA,2022,2.221079919742893
PA,2023,2.201062334010311
RI,2016,2.906891495601173
RI,2017,3.1244651886425516
RI,2018,3.158502340093604
RI,2019,2.9966101694915253
RI,2020,2.8312739667660844
RI,2021,2.724122807017544
RI,2022,2.5995607613469986
RI,2023,2.0
SC,2016,2.4873633879781423
SC,2017,2.506931691332685
SC,2018,2.480248986893505
SC,2019,2.38586834998882
SC,2020,2.2013127312011
SC,2021,2.130187551267257
SC,2022,1.9941041335325398
SC,2023,2.0294117647058822
SD,2016,4.25
SD,2017,3.3333333333333335
SD,2018,3.076923076923077
SD,2019,4.703703703703703
SD,2020,2.1176470588235294
SD,2021,2.3333333333333335
SD,2022,3.125
TN,2016,2.759193357058126
TN,2017,2.743682966733321
TN,2018,2.7574960979216296
TN,2019,2.6098012239669814
TN,2020,2.3236061006536413
TN,2021,2.260082512418961
TN,2022,2.165558653227536
TN,2023,2.0700179533213645
TX,2016,2.512131254858639
TX,2017,2.5664652385046685
TX,2018,2.598816118437178
TX,2019,2.5476217823551184
TX,2020,2.5246844788677456
TX,2021,2.3437988705473503
TX,2022,2.240485568903405
TX,2023,2.037693298969072
UT,2016,2.6077586206896552
UT,2017,3.1561668145519075
UT,2018,2.859738511824649
UT,2019,2.371099947117927
UT,2020,2.2850195218850606
UT,2021,2.221939250885148
UT,2022,2.1488417502440758
UT,2023,2.026258205689278
VA,2016,3.041975698279943
VA,2017,3.068993375343351
VA,2018,3.035750686005488
VA,2019,2.8841453609905128
VA,2020,2.4925318044243214
VA,2021,2.393911947004813
VA,2022,2.2591290439401255
VA,2023,2.3064777327935224
VT,2016,4.5625
VT,2017,2.596026490066225
VT,2018,2.5080213903743314
VT,2019,2.75
VT,2020,2.8258426966292136
