Year,State,1,2,3,4
2022,OH,1169,14716,4002,327
2022,OK,1222,5940,86,17
2022,OR,48,19022,366,720
2022,PA,1486,49288,2698,2847
2022,RI,117,781,468,0
2022,SC,5946,53718,2170,413
2022,SD,0,10,0,6
2022,TN,861,24676,1830,611
2022,TX,3112,58622,8547,1058
2022,UT,215,10143,835,74
2022,VA,1304,57648,3483,3837
2022,VT,2,19,14,2
2022,WA,325,9478,1363,355
2022,WI,57,4876,337,311
2022,WV,0,3490,1,91
2022,WY,0,1093,1,120
2023,AL,0,586,0,22
2023,AR,0,639,0,115
2023,AZ,0,4048,0,86
2023,CA,0,48788,0,143
2023,CO,0,2474,0,302
2023,CT,0,1611,0,98
2023,DC,0,468,0,3
2023,DE,0,89,0,16
2023,FL,0,14605,0,215
2023,GA,0,5122,0,494
2023,IA,0,297,0,25
2023,ID,0,136,0,0
2023,IL,0,2834,0,144
2023,IN,0,888,0,111
2023,KS,0,634,0,7
2023,KY,0,49,0,3
2023,LA,0,2045,0,2
2023,MA,0,71,0,6
2023,MD,0,1717,0,75
2023,MI,0,3158,0,178
2023,MN,0,5996,0,8
2023,MO,0,1509,0,39
2023,MS,0,176,0,20
2023,MT,0,1370,0,4
2023,NC,0,5476,0,537
2023,ND,0,145,0,0
2023,NE,0,61,0,4
2023,NJ,0,2933,0,75
2023,NM,0,26,0,5
2023,NV,0,722,0,30
2023,NY,0,7173,0,140
2023,OH,0,3331,0,105
2023,OK,0,416,0,1
2023,OR,0,3796,0,124
2023,PA,0,5972,0,429
2023,RI,0,34,0,0
2023,SC,0,5656,0,56
2023,TN,0,1632,0,39
2023,TX,0,9195,0,117
2023,UT,0,1359,0,12
2023,VA,0,6653,0,757
2023,WA,0,1271,0,39
2023,WI,0,1326,0,39
2023,WV,0,767,0,8
2023,WY,0,170,0,25
