Year,State,Clear,Cloudy,Fair,Mostly Cloudy,Partly Cloudy
2017,SC,13250,1,8,2878,1642
2017,SD,4,1,0,1,0
2017,TN,1343,10,8,2822,1784
2017,TX,28868,10,139,13946,10247
2017,UT,2102,58,149,624,402
2017,VA,6091,7,16,3114,1755
2017,VT,36,0,0,16,6
2017,WA,5025,27,47,2806,960
2017,WI,1274,0,0,567,277
2017,WV,184,6,3,90,49
2017,WY,39,11,3,6,4
2018,AL,4224,63,107,2068,1430
2018,AR,171,4,9,66,52
2018,AZ,11808,2,43,3234,3622
2018,CA,80669,366,1336,13465,12555
2018,CO,3482,1,9,3274,2831
2018,CT,2334,0,0,767,429
2018,DC,77,0,0,161,81
2018,DE,770,0,0,127,90
2018,FL,21048,88,452,12813,7644
2018,GA,7982,38,105,3632,2115
2018,IA,808,0,0,258,268
2018,ID,217,1,9,29,14
2018,IL,6941,0,0,3359,2615
2018,IN,4591,15,32,1778,1035
2018,KS,606,0,1,84,59
2018,KY,2116,1,3,1039,849
2018,LA,8212,111,153,3332,1385
2018,MA,2469,0,0,1262,755
2018,MD,2885,7,11,1202,482
2018,ME,166,12,27,74,80
2018,MI,6961,0,0,2608,1388
2018,MN,6851,0,0,2047,1272
2018,MO,3118,9,8,989,690
2018,MS,920,5,31,284,237
2018,MT,20,6,9,14,15
2018,NC,11366,23,64,12909,7666
2018,ND,8,0,1,1,0
2018,NE,2419,0,0,572,275
2018,NH,559,0,0,377,234
2018,NJ,4434,0,0,1703,898
2018,NM,438,0,9,504,518
2018,NV,952,41,49,489,459
2018,NY,7025,0,0,7417,4161
2018,OH,4713,0,0,1971,1108
2018,OK,8572,0,2,2696,2246
2018,OR,7506,241,187,2859,1472
2018,PA,7069,60,188,2304,975
2018,RI,613,0,0,720,383
2018,SC,23867,0,8,6355,3039
2018,SD,1,1,0,1,0
2018,TN,3050,9,8,6294,2914
2018,TX,26399,38,54,12703,9348
2018,UT,4125,174,192,1432,763
2018,VA,8699,3,0,3562,1956
2018,VT,28,0,0,23,7
2018,WA,5279,39,35,2718,1071
2018,WI,1553,0,0,650,299
2018,WV,141,8,9,85,26
2018,WY,53,11,11,12,12
